Keyword,URL,Search Intents,SERP Features,Search Volume,Keyword Difficulty,CPC,Position,Organic Traffic,Competition,Competition Level,Results,SERP Updated At,Backlinks,Dofollow,Referring Domains,Referring Main Domains,Referring Pages,Avg Main Domain Rank,Avg Rank,Avg Referring Domains,Avg Referring Main Domains,Avg Backlinks,Avg Dofollow,Low Top Of Page Bid,High Top Of Page Bid
mobile tints near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,people_also_search,related_searches,images",110,0,3.06,2,17,0.75,HIGH,7540000,2025-11-27 06:05:52 +00:00,54.00,29.00,34.00,33.00,44.00,90.10,53.00,10.30,10.00,16.90,10.70,0.76,2.97
ceramic coating car price,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"transactional,commercial","ai_overview,people_also_ask,video,popular_products,related_searches,images",90,0,1.90,2,14,0.72,HIGH,14900000,2025-12-01 09:16:36 +00:00,,,,,,227.80,30.50,1.00,1.00,1.20,1.00,0.75,2.53
ceramic coatings near me,https://www.uniqueautoinc.ca/ceramic-coating/,"navigational,transactional","local_pack,people_also_ask,related_searches",90,0,4.30,2,14,0.84,HIGH,13500000,2025-11-12 16:27:28 +00:00,10.00,5.00,4.00,4.00,5.00,176.70,55.40,12.00,11.80,41.90,37.20,0.97,3.96
car window tinting mobile,https://www.uniqueautoinc.ca/,"transactional,navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",70,0,2.21,2,11,0.78,HIGH,3890000,2025-12-03 09:21:54 +00:00,54.00,29.00,34.00,33.00,44.00,166.20,41.00,3.90,3.80,6.90,3.70,0.90,2.70
auto tint,https://www.uniqueautoinc.ca/,navigational,"local_pack,popular_products,people_also_ask,related_searches",590,0,1.74,3,57,0.61,MEDIUM,53800000,2025-12-11 03:25:31 +00:00,54.00,29.00,34.00,33.00,44.00,283.40,76.70,27.80,26.30,58.20,45.50,0.85,3.17
unique detailing,https://www.uniqueautoinc.ca/,"navigational,commercial","related_searches,third_party_reviews,google_reviews,knowledge_graph,images",480,6,2.61,3,46,0.08,LOW,1390000000,2025-12-12 12:29:12 +00:00,54.00,29.00,34.00,33.00,44.00,553.80,80.40,17.20,16.60,187.20,156.60,0.86,3.19
auto tint markham,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",390,0,2.71,3,37,0.41,MEDIUM,153000,2025-11-09 02:32:16 +00:00,54.00,29.00,34.00,33.00,44.00,337.40,59.10,21.70,20.90,38.20,17.00,0.75,2.43
auto tinting markham,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,related_searches",390,0,2.71,3,37,0.41,MEDIUM,75000,2025-11-22 22:32:41 +00:00,54.00,29.00,34.00,33.00,44.00,146.50,56.10,18.50,17.70,30.80,13.50,0.75,2.43
car tint markham,https://www.uniqueautoinc.ca/,commercial,"local_pack,people_also_ask,related_searches,images",390,0,2.71,3,37,0.41,MEDIUM,138000,2025-11-22 17:33:51 +00:00,54.00,29.00,34.00,33.00,44.00,210.70,59.30,24.00,23.00,36.70,16.70,0.75,2.43
ceramic coating price,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"transactional,commercial","ai_overview,people_also_ask,popular_products,discussions_and_forums,related_searches",390,0,2.24,3,37,0.95,HIGH,45200000,2025-12-13 00:21:23 +00:00,,,,,,249.20,13.00,0.60,0.60,0.70,0.70,0.69,2.33
window tint markham,https://www.uniqueautoinc.ca/window-tinting-markham/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",390,0,2.71,3,37,0.41,MEDIUM,205000,2025-11-22 11:22:58 +00:00,,,,,,296.80,13.10,9.10,8.70,18.00,6.30,0.75,2.43
auto tinting scarborough,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_search,people_also_ask,related_searches",260,1,2.92,3,25,0.88,HIGH,116000,2025-11-24 15:11:07 +00:00,54.00,29.00,34.00,33.00,44.00,174.40,97.60,43.80,41.90,83.70,48.90,0.83,3.05
tint windows scarborough,https://www.uniqueautoinc.ca/,commercial,"local_pack,people_also_ask,people_also_search,related_searches",260,9,2.62,3,25,0.87,HIGH,71300,2025-11-09 03:39:26 +00:00,54.00,29.00,34.00,33.00,44.00,159.90,130.10,56.20,53.10,136.70,102.50,0.89,3.10
unique automotive,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches,images",260,0,0.60,3,25,0.61,MEDIUM,293000000,2025-12-13 15:43:31 +00:00,54.00,29.00,34.00,33.00,44.00,426.90,34.10,4.10,3.90,5.80,3.00,0.07,1.27
car window tinting scarborough,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches",210,4,4.01,3,20,0.75,HIGH,123000,2025-12-17 06:32:46 +00:00,54.00,29.00,34.00,33.00,44.00,160.20,113.50,48.40,45.40,124.10,78.20,0.79,2.49
how much is a ceramic coat,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"transactional,commercial","people_also_ask,video,popular_products,related_searches,images",170,0,2.44,3,16,0.52,MEDIUM,55400000,2025-11-09 05:44:32 +00:00,,,,,,391.00,19.80,0.90,0.90,1.10,1.10,0.72,2.54
scarborough tinting,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches",170,0,3.20,3,16,0.82,HIGH,358000,2025-10-16 00:45:10 +00:00,54.00,29.00,34.00,33.00,44.00,156.90,86.20,42.80,41.10,77.70,48.60,0.78,2.68
car ceramic coating cost,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"commercial,transactional","ai_overview,people_also_ask,video,popular_products,related_searches,images",140,0,3.75,3,13,0.70,HIGH,14200000,2025-11-07 14:54:34 +00:00,,,,,,232.50,10.80,0.30,0.30,0.30,0.30,0.75,2.52
unique auto detailing,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,related_searches,images",110,2,1.91,3,10,0.23,LOW,31300000,2025-11-28 03:44:16 +00:00,54.00,29.00,34.00,33.00,44.00,381.50,82.00,13.60,13.00,20.80,14.70,,
car ceramic coating price,https://www.uniqueautoinc.ca/how-much-is-a-ceramic-coating/,"transactional,commercial","people_also_ask,popular_products,video,related_searches,images",90,0,3.16,3,8,0.76,HIGH,13800000,2025-11-10 18:45:06 +00:00,,,,,,276.40,11.60,0.60,0.60,0.70,0.60,0.99,2.90
best ppf film,https://www.uniqueautoinc.ca/which-paint-protection-film-is-the-best/,commercial,"ai_overview,people_also_ask,video,related_searches,images",70,0,1.32,3,6,0.97,HIGH,9500000,2025-12-04 09:54:32 +00:00,,,,,,258.80,30.40,16.30,16.30,17.40,2.60,0.50,2.37
mobile automotive window tinting,https://www.uniqueautoinc.ca/,"navigational,transactional","local_pack,people_also_ask,people_also_search,related_searches",70,0,2.21,3,6,0.78,HIGH,9560000,2025-11-17 18:49:14 +00:00,54.00,29.00,34.00,33.00,44.00,182.40,69.60,23.40,22.20,52.90,42.40,0.90,2.70
mobile car window tint,https://www.uniqueautoinc.ca/,transactional,"popular_products,people_also_ask,video,people_also_search,related_searches,images",70,0,2.21,3,6,0.78,HIGH,14800000,2025-11-15 08:22:56 +00:00,54.00,29.00,34.00,33.00,44.00,147.50,64.70,17.20,15.70,65.80,57.50,0.90,2.70
tinting shops,https://www.uniqueautoinc.ca/,navigational,"local_pack,people_also_ask,people_also_search,related_searches,images",1300,9,3.34,4,85,0.52,MEDIUM,29400000,2025-11-08 17:27:26 +00:00,54.00,29.00,34.00,33.00,44.00,174.50,136.90,50.90,48.80,656.70,632.20,1.05,3.97
toronto car tint,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",1000,22,2.50,4,65,0.47,MEDIUM,6820000,2025-11-08 18:28:19 +00:00,54.00,29.00,34.00,33.00,44.00,143.70,164.60,73.80,70.40,171.40,128.00,0.90,2.89
car ceramic coating near me,https://www.uniqueautoinc.ca/ceramic-coating/,transactional,"local_pack,people_also_ask,related_searches",260,5,2.85,4,17,0.53,MEDIUM,25100000,2025-11-24 14:23:10 +00:00,10.00,5.00,4.00,4.00,5.00,138.20,112.60,32.10,31.30,40.30,29.90,0.72,2.86
window tint scarborough,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches",260,3,2.62,4,17,0.87,HIGH,247000,2025-11-22 23:58:02 +00:00,54.00,29.00,34.00,33.00,44.00,172.40,109.20,48.00,45.10,124.60,96.40,0.89,3.10
auto window tinting toronto,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_search,people_also_ask,related_searches",210,21,3.45,4,13,0.22,LOW,195000,2025-11-29 17:32:22 +00:00,54.00,29.00,34.00,33.00,44.00,124.90,146.10,70.10,66.90,165.60,125.90,0.98,3.27
cheapest window tinting near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,related_searches",170,0,2.40,4,11,0.88,HIGH,6800000,2025-11-04 16:22:45 +00:00,54.00,29.00,34.00,33.00,44.00,230.00,75.80,23.20,22.60,39.80,21.90,0.90,2.70
unique automotive service,https://www.uniqueautoinc.ca/,"navigational,commercial","ai_overview,people_also_ask,people_also_search,related_searches,google_reviews,knowledge_graph,images",170,0,1.54,4,11,0.13,LOW,317000000,2025-11-26 18:37:25 +00:00,54.00,29.00,34.00,33.00,44.00,391.10,51.20,3.70,3.60,10.20,7.20,0.52,1.01
window tinting cheap near me,https://www.uniqueautoinc.ca/,"transactional,navigational","local_pack,people_also_ask,popular_products,related_searches",170,0,2.40,4,11,0.88,HIGH,10600000,2025-12-13 20:36:31 +00:00,54.00,29.00,34.00,33.00,44.00,244.00,79.80,4.70,4.60,15.90,12.60,0.90,2.70
window tinting near me cheap,https://www.uniqueautoinc.ca/,"transactional,navigational","local_pack,people_also_ask,related_searches,images",170,0,2.40,4,11,0.88,HIGH,10900000,2025-12-13 18:00:06 +00:00,54.00,29.00,34.00,33.00,44.00,216.60,71.60,35.40,34.00,65.00,50.10,0.90,2.70
ceramic window tinting near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,related_searches",110,4,2.63,4,7,0.57,MEDIUM,2830000,2025-12-14 21:36:12 +00:00,54.00,29.00,34.00,33.00,44.00,219.10,98.60,33.20,31.60,72.30,49.60,0.72,2.19
ceramic coating nearby,https://www.uniqueautoinc.ca/ceramic-coating/,transactional,"local_pack,people_also_ask,popular_products,related_searches,images",90,0,3.72,4,5,0.97,HIGH,53600000,2025-12-04 03:18:55 +00:00,10.00,5.00,4.00,4.00,5.00,232.10,36.30,5.50,5.30,7.00,5.30,0.86,4.07
unique auto trim,https://www.uniqueautoinc.ca/automotive-detailing-toronto/,transactional,"people_also_ask,related_searches,knowledge_graph,google_reviews,third_party_reviews,images",90,0,,4,5,0.05,LOW,31900000,2025-11-12 13:29:50 +00:00,,,,,,444.70,7.80,0.10,0.10,0.20,0.00,,
best ppf,https://www.uniqueautoinc.ca/which-paint-protection-film-is-the-best/,commercial,"ai_overview,people_also_ask,video,images,related_searches",70,0,2.05,4,4,0.76,HIGH,38100000,2025-12-04 06:37:13 +00:00,,,,,,272.10,55.60,23.70,23.20,77.90,52.70,1.23,3.17
window tint place near me,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches",40,0,2.94,4,2,0.68,HIGH,36000000,2025-10-24 18:11:20 +00:00,54.00,29.00,34.00,33.00,44.00,253.60,82.00,22.20,21.50,34.00,20.30,1.00,5.68
ceramic coating near me,https://www.uniqueautoinc.ca/ceramic-coating/,transactional,"local_pack,people_also_ask,related_searches,people_also_search",2400,0,3.51,5,112,0.65,MEDIUM,41500000,2025-12-09 23:53:01 +00:00,10.00,5.00,4.00,4.00,5.00,160.00,51.70,57.30,17.70,71.80,65.60,1.00,4.62
car tint toronto,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,discussions_and_forums,people_also_search,related_searches",1000,21,2.50,5,46,0.47,MEDIUM,6920000,2025-12-10 15:06:21 +00:00,54.00,29.00,34.00,33.00,44.00,115.50,160.20,78.20,74.80,177.60,131.90,0.90,2.89
car window tint toronto,https://www.uniqueautoinc.ca/,"transactional,commercial","local_pack,people_also_ask,people_also_search,related_searches",210,9,3.45,5,9,0.22,LOW,2070000,2025-12-17 06:32:46 +00:00,54.00,29.00,34.00,33.00,44.00,130.20,141.00,62.30,59.70,142.00,102.60,0.98,3.27
tinting car windows toronto,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",210,23,3.45,5,9,0.22,LOW,1120000,2025-11-09 05:20:40 +00:00,54.00,29.00,34.00,33.00,44.00,213.60,168.00,88.90,84.60,212.00,157.30,0.98,3.27
tinting gta scarborough,https://www.uniqueautoinc.ca/,"commercial,informational,navigational","people_also_search,people_also_ask,related_searches,google_reviews,knowledge_graph,images",210,3,4.53,5,9,0.04,LOW,34800,2025-11-24 18:37:21 +00:00,54.00,29.00,34.00,33.00,44.00,327.00,92.40,35.70,33.90,78.30,44.50,,
best car tints near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,related_searches",170,6,3.08,5,7,0.79,HIGH,30800000,2025-11-26 13:09:04 +00:00,54.00,29.00,34.00,33.00,44.00,262.90,107.60,30.10,28.70,70.10,56.80,0.87,3.21
car tint mobile,https://www.uniqueautoinc.ca/,"transactional,navigational,commercial","local_pack,popular_products,people_also_ask,people_also_search,related_searches,images",170,0,1.75,5,7,0.80,HIGH,45100000,2025-11-26 11:25:52 +00:00,54.00,29.00,34.00,33.00,44.00,62.50,53.40,12.60,12.30,19.60,10.00,0.76,2.62
cheap auto tinting near me,https://www.uniqueautoinc.ca/,"transactional,navigational","local_pack,people_also_ask,related_searches",170,0,2.40,5,7,0.88,HIGH,15000000,2025-12-18 12:05:26 +00:00,54.00,29.00,34.00,33.00,44.00,270.10,80.10,28.20,27.10,60.50,47.60,0.90,2.70
cheapest car tinting near me,https://www.uniqueautoinc.ca/,"transactional,commercial","local_pack,people_also_ask,people_also_search,related_searches",170,0,2.40,5,7,0.88,HIGH,1480000,2025-12-13 20:13:22 +00:00,54.00,29.00,34.00,33.00,44.00,233.20,45.60,4.10,4.00,7.10,3.70,0.90,2.70
tint toronto,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",170,11,2.30,5,7,0.82,HIGH,9780000,2025-12-17 18:59:52 +00:00,54.00,29.00,34.00,33.00,44.00,101.90,153.40,59.90,57.40,136.50,99.70,0.76,2.57
tinting toronto,https://www.uniqueautoinc.ca/,"navigational,commercial","people_also_ask,people_also_search,related_searches,google_reviews,knowledge_graph,images",170,23,2.30,5,7,0.82,HIGH,7750000,2025-11-25 16:31:07 +00:00,54.00,29.00,34.00,33.00,44.00,134.60,181.30,95.30,90.60,227.70,169.40,0.76,2.57
tints toronto,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",170,23,2.30,5,7,0.82,HIGH,392000,2025-11-25 16:41:57 +00:00,54.00,29.00,34.00,33.00,44.00,132.30,184.30,97.40,92.90,224.40,163.40,0.76,2.57
ceramic window tint near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,people_also_search,related_searches",90,7,2.96,5,4,0.71,HIGH,7180000,2025-11-12 16:38:22 +00:00,54.00,29.00,34.00,33.00,44.00,195.60,126.70,51.00,48.90,94.90,63.60,1.00,2.38
best paint protection film,https://www.uniqueautoinc.ca/which-paint-protection-film-is-the-best/,"commercial,transactional","ai_overview,people_also_ask,discussions_and_forums,popular_products,related_searches",70,0,2.05,5,3,0.76,HIGH,69100000,2025-10-24 00:52:20 +00:00,,,,,,329.60,49.30,19.60,19.60,30.70,17.70,1.23,3.17
car window tint mobile,https://www.uniqueautoinc.ca/,transactional,"local_pack,popular_products,people_also_ask,people_also_search,related_searches,images",70,0,2.21,5,3,0.78,HIGH,14800000,2025-12-03 09:32:35 +00:00,54.00,29.00,34.00,33.00,44.00,166.20,41.00,3.90,3.80,6.90,3.70,0.90,2.70
automotive detailers near me,https://www.uniqueautoinc.ca/automotive-detailing/,"navigational,transactional","ai_overview,local_pack,people_also_ask,related_searches",6600,0,1.97,6,223,0.50,MEDIUM,5020000,2025-10-29 23:58:43 +00:00,10.00,3.00,3.00,3.00,3.00,269.00,71.80,22.70,20.80,75.00,58.10,0.67,2.55
window tinting auto,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,popular_products,related_searches,images",6600,0,1.74,6,223,0.48,MEDIUM,7190000,2025-10-30 00:19:51 +00:00,54.00,29.00,34.00,33.00,44.00,294.60,60.40,15.90,15.30,43.20,33.60,0.78,2.61
car tint near me,https://www.uniqueautoinc.ca/,"navigational,transactional","people_also_ask,people_also_search,related_searches",5400,0,2.35,6,182,0.63,MEDIUM,66600000,2025-11-17 08:08:09 +00:00,54.00,29.00,34.00,33.00,44.00,220.40,84.10,27.70,26.90,69.10,44.80,0.78,2.84
auto car tinting near me,https://www.uniqueautoinc.ca/,"navigational,transactional,commercial","local_pack,people_also_ask,people_also_search,related_searches",2900,0,2.39,6,98,0.63,MEDIUM,7390000,2025-11-17 23:27:00 +00:00,54.00,29.00,34.00,33.00,44.00,214.10,66.00,16.40,16.00,25.40,11.60,0.90,3.27
toronto auto tint,https://www.uniqueautoinc.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches",1000,23,2.50,6,33,0.47,MEDIUM,2740000,2025-11-18 09:03:12 +00:00,54.00,29.00,34.00,33.00,44.00,130.50,155.20,83.30,79.10,200.10,151.70,0.90,2.89
window tint percentages,https://www.uniqueautoinc.ca/how-much-should-you-tint-car-windows/,informational,"ai_overview,people_also_ask,video,carousel,related_searches,images",880,0,0.42,6,29,0.20,LOW,3700000,2025-12-10 16:53:34 +00:00,,,,,,261.70,21.30,2.90,2.70,3.70,3.00,0.90,1.83
ceramic tinting near me,https://www.uniqueautoinc.ca/,"transactional,navigational","local_pack,people_also_ask,related_searches",480,27,3.17,6,16,0.98,HIGH,2710000,2025-11-22 09:55:51 +00:00,54.00,29.00,34.00,33.00,44.00,224.70,149.80,51.20,49.30,114.50,87.90,0.83,2.86
automotive tint shop near me,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches",210,9,3.42,6,7,0.45,MEDIUM,34800000,2025-11-25 11:38:38 +00:00,54.00,29.00,34.00,33.00,44.00,210.70,130.60,38.10,36.90,627.70,596.70,1.01,3.37
car tint shop near me,https://www.uniqueautoinc.ca/,"navigational,informational,commercial","local_pack,people_also_ask,related_searches",210,2,3.42,6,7,0.45,MEDIUM,39800000,2025-12-17 06:32:45 +00:00,54.00,29.00,34.00,33.00,44.00,166.00,106.80,22.70,22.40,617.60,590.40,1.01,3.37
tinting services near me,https://www.uniqueautoinc.ca/,navigational,"local_pack,people_also_ask,people_also_search,related_searches",210,24,1.73,6,7,0.70,HIGH,9500000,2025-11-24 18:37:26 +00:00,54.00,29.00,34.00,33.00,44.00,247.10,123.30,26.30,25.60,46.80,32.10,0.94,2.76
window tinting shops near me,https://www.uniqueautoinc.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches,people_also_search",210,5,3.42,6,7,0.45,MEDIUM,2770000,2025-11-24 15:57:29 +00:00,54.00,29.00,34.00,33.00,44.00,185.80,116.30,31.80,30.80,614.00,595.80,1.01,3.37
cheap car tints near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,popular_products,related_searches,images",170,0,2.40,6,5,0.88,HIGH,27200000,2025-12-13 20:13:21 +00:00,54.00,29.00,34.00,33.00,44.00,335.00,26.60,3.50,3.40,5.20,2.40,0.90,2.70
cheapest auto tint near me,https://www.uniqueautoinc.ca/,transactional,"local_pack,people_also_ask,people_also_search,related_searches",170,0,2.40,6,5,0.88,HIGH,10300000,2025-12-14 07:09:24 +00:00,54.00,29.00,34.00,33.00,44.00,215.80,51.50,14.60,14.20,20.00,13.80,0.90,2.70
markham tint,https://www.uniqueautoinc.ca/window-tinting-markham/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",170,0,2.45,6,5,0.74,HIGH,470000,2025-12-18 04:23:13 +00:00,,,,,,284.90,29.20,10.60,10.00,20.60,6.20,0.94,2.92
