Keyword,URL,Search Intents,SERP Features,Search Volume,Keyword Difficulty,CPC,Position,Organic Traffic,Competition,Competition Level,Results,SERP Updated At,Backlinks,Dofollow,Referring Domains,Referring Main Domains,Referring Pages,Avg Main Domain Rank,Avg Rank,Avg Referring Domains,Avg Referring Main Domains,Avg Backlinks,Avg Dofollow,Low Top Of Page Bid,High Top Of Page Bid
window tint waterloo,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",90,0,2.34,84,0,0.75,HIGH,310000,2025-12-20 16:12:21 +00:00,409.00,363.00,107.00,94.00,397.00,150.50,28.20,8.30,8.20,10.70,7.10,0.76,3.90
30 tint,https://mrtint.ca/pricing/,"commercial,transactional","images,people_also_ask,video,popular_products,related_searches",1000,0,0.37,85,2,0.26,LOW,75800000,2025-12-10 16:51:49 +00:00,2.00,0.00,2.00,2.00,2.00,367.50,11.60,0.60,0.60,0.60,0.40,0.89,2.76
dr tint,https://mrtint.ca/,commercial,"related_searches,images",880,3,1.80,85,1,0.28,LOW,39500000,2025-12-10 20:08:15 +00:00,409.00,363.00,107.00,94.00,397.00,493.10,74.80,11.20,10.70,87.80,29.90,1.18,4.67
solar film toronto,https://mrtint.ca/,"commercial,transactional","local_pack,people_also_ask,people_also_search,related_searches",170,0,5.64,85,0,0.13,LOW,6510000,2025-11-27 00:51:11 +00:00,409.00,363.00,107.00,94.00,397.00,147.60,40.40,19.70,19.30,26.10,12.80,1.08,8.00
why tinted windows are illegal,https://mrtint.ca/ontariowindowtintinglaw/,informational,"ai_overview,people_also_ask,video,related_searches,images",90,1,,85,0,0.00,LOW,1630000,2025-11-12 12:54:34 +00:00,,,,,,533.30,60.50,66.90,63.70,171.00,136.80,,
pro tint,https://mrtint.ca/,transactional,"people_also_ask,related_searches,images",590,0,2.16,86,1,0.24,LOW,87900000,2025-11-19 05:14:05 +00:00,409.00,363.00,107.00,94.00,397.00,261.90,48.20,11.20,10.80,16.20,10.90,1.24,2.71
car tinting cambridge,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",170,0,3.23,86,0,0.87,HIGH,294000,2025-12-18 12:31:32 +00:00,409.00,363.00,107.00,94.00,397.00,190.30,49.80,28.60,28.20,44.80,36.20,0.74,3.03
car tint legal limit,https://mrtint.ca/ontariowindowtintinglaw/,"commercial,transactional","ai_overview,people_also_ask,video,related_searches,images",90,0,,86,0,0.01,LOW,2160000,2025-11-12 16:54:29 +00:00,,,,,,344.40,46.60,10.20,9.90,13.20,9.90,,
windows tint shop,https://mrtint.ca/contact/,transactional,"local_pack,people_also_ask,discussions_and_forums,people_also_search,popular_products,related_searches",90,0,4.60,86,0,0.22,LOW,13600000,2025-10-20 01:29:31 +00:00,,,,,,267.30,68.60,18.00,17.50,592.00,581.50,0.93,2.29
tinting brampton,https://mrtint.ca/,navigational,"local_pack,people_also_ask,related_searches,images",320,0,2.33,87,0,0.80,HIGH,906000,2025-12-13 03:09:28 +00:00,409.00,363.00,107.00,94.00,397.00,256.10,55.60,20.20,19.10,48.10,40.20,0.64,3.14
the tint guy,https://mrtint.ca/,"navigational,commercial","local_pack,related_searches,images",210,0,0.47,87,0,0.08,LOW,42700000,2025-12-17 00:00:18 +00:00,409.00,363.00,107.00,94.00,397.00,503.00,37.20,12.30,12.10,37.20,9.10,0.69,3.50
window tinting in brampton,https://mrtint.ca/pricing/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches",720,3,3.06,88,1,0.74,HIGH,341000,2025-11-08 20:28:19 +00:00,3.00,1.00,3.00,3.00,3.00,306.80,91.80,20.30,19.20,48.20,40.30,0.78,3.03
window tint barrie,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",590,0,2.35,88,1,0.84,HIGH,216000,2025-11-20 15:00:19 +00:00,409.00,363.00,107.00,94.00,397.00,288.90,29.20,14.30,13.90,16.10,11.00,0.77,2.40
auto tinting markham,https://mrtint.ca/,"navigational,commercial","local_pack,related_searches",390,0,2.71,88,0,0.41,MEDIUM,75000,2025-11-22 22:32:41 +00:00,409.00,363.00,107.00,94.00,397.00,146.50,56.10,18.50,17.70,30.80,13.50,0.75,2.43
tinting window laws,https://mrtint.ca/ontariowindowtintinglaw/,"commercial,navigational","ai_overview,people_also_ask,related_searches,images",320,0,0.88,88,0,0.04,LOW,4970000,2025-12-13 02:58:09 +00:00,,,,,,289.10,60.30,10.70,10.40,14.10,11.10,,
xtreme tint,https://mrtint.ca/,"navigational,transactional","people_also_ask,popular_products,related_searches,google_reviews,knowledge_graph,people_also_search,images",260,0,11.70,88,0,0.12,LOW,1400000,2025-11-09 03:33:04 +00:00,409.00,363.00,107.00,94.00,397.00,343.90,9.40,7.40,7.30,8.40,6.00,0.94,2.71
tint guard,https://mrtint.ca/,transactional,"people_also_ask,video,popular_products,related_searches,knowledge_graph,google_reviews,images",210,0,2.11,88,0,0.08,LOW,14900000,2025-11-29 15:19:11 +00:00,409.00,363.00,107.00,94.00,397.00,336.30,8.90,4.90,4.80,5.60,4.00,0.39,1.69
car window tint shades,https://mrtint.ca/pricing/,transactional,"ai_overview,images,people_also_ask,video,popular_products,related_searches",110,5,0.10,88,0,1.00,HIGH,6010000,2025-12-14 15:12:56 +00:00,3.00,1.00,3.00,3.00,3.00,341.90,99.70,41.40,39.80,95.80,74.90,,
express window tint,https://mrtint.ca/,"commercial,navigational","people_also_ask,popular_products,related_searches,knowledge_graph,google_reviews,images",110,0,0.64,88,0,0.11,LOW,9270000,2025-11-30 05:53:51 +00:00,409.00,363.00,107.00,94.00,397.00,438.30,35.20,23.30,22.80,41.20,12.80,,
tint factory london ontario,https://mrtint.ca/,"commercial,navigational","people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph,images",70,0,1.95,88,0,0.10,LOW,138000,2025-12-01 18:29:49 +00:00,409.00,363.00,107.00,94.00,397.00,605.70,20.90,12.90,12.50,18.50,10.40,1.43,3.76
car tinting vaughan,https://mrtint.ca/,"commercial,navigational","local_pack,related_searches,images",320,0,2.65,89,0,0.58,MEDIUM,85700,2025-11-23 00:05:04 +00:00,409.00,363.00,107.00,94.00,397.00,153.20,92.80,43.80,42.10,85.10,61.70,0.89,2.88
cambridge window tinting,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches,images",170,0,3.23,89,0,0.87,HIGH,326000,2025-11-06 11:26:36 +00:00,409.00,363.00,107.00,94.00,397.00,221.10,34.90,26.60,26.10,42.10,34.30,0.74,3.03
whitby window tinting,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches",140,0,2.02,89,0,0.85,HIGH,260000,2025-12-19 09:23:03 +00:00,409.00,363.00,107.00,94.00,397.00,277.80,19.60,7.30,7.30,14.70,5.40,0.83,1.97
window tinting waterloo,https://mrtint.ca/,"commercial,navigational","local_pack,related_searches",90,0,2.34,89,0,0.75,HIGH,367000,2025-12-20 16:01:46 +00:00,409.00,363.00,107.00,94.00,397.00,147.60,28.20,8.30,8.20,10.70,7.10,0.76,3.90
window tint richmond hill,https://mrtint.ca/,commercial,"local_pack,people_also_ask,people_also_search,related_searches,images",70,0,5.19,89,0,0.81,HIGH,484000,2025-11-12 21:03:23 +00:00,409.00,363.00,107.00,94.00,397.00,256.30,63.80,23.00,22.10,39.60,18.90,0.96,3.37
tint kitchener,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,video,people_also_search,related_searches,images",40,0,3.14,89,0,0.84,HIGH,374000,2025-10-26 14:39:03 +00:00,409.00,363.00,107.00,94.00,397.00,178.50,93.10,46.50,45.50,70.40,51.60,0.73,2.13
professional tint,https://mrtint.ca/,transactional,"local_pack,people_also_ask,popular_products,related_searches,images",590,3,2.16,90,1,0.24,LOW,84800000,2025-12-11 08:01:29 +00:00,409.00,363.00,107.00,94.00,397.00,206.90,96.80,37.00,36.20,58.60,33.20,1.24,2.71
tinted windows shop,https://mrtint.ca/,"transactional,navigational","local_pack,people_also_ask,popular_products,video,related_searches",90,0,4.60,90,0,0.22,LOW,15100000,2025-10-20 05:10:29 +00:00,409.00,363.00,107.00,94.00,397.00,378.90,46.80,6.80,6.60,579.40,573.10,0.93,2.29
window tinting prices edmonton,https://mrtint.ca/pricing/,"commercial,navigational","ai_overview,people_also_ask,people_also_search,local_pack,popular_products,related_searches",70,0,2.46,90,0,0.91,HIGH,275000,2025-12-01 14:30:09 +00:00,3.00,1.00,3.00,3.00,3.00,267.10,47.60,22.60,22.30,26.20,20.80,0.96,1.71
st thomas window tinting,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches,images",50,0,1.65,90,0,0.35,MEDIUM,378000,2025-10-07 09:59:37 +00:00,409.00,363.00,107.00,94.00,397.00,455.90,19.60,7.20,7.00,9.30,5.50,,
5 tinted windows,https://mrtint.ca/ontariowindowtintinglaw/,commercial,"images,people_also_ask,popular_products,video,related_searches",390,0,0.47,91,0,0.80,HIGH,53200000,2025-11-11 16:33:53 +00:00,,,,,,294.20,31.30,0.70,0.60,1.90,1.50,0.42,2.79
window tinting in vaughan,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_search,related_searches,images",320,4,2.65,91,0,0.58,MEDIUM,192000,2025-11-21 12:35:35 +00:00,409.00,363.00,107.00,94.00,397.00,202.50,104.50,54.20,52.40,103.60,71.30,0.89,2.88
carbon tint,https://mrtint.ca/,"transactional,commercial","ai_overview,people_also_ask,video,images,popular_products,related_searches",110,0,0.90,91,0,0.45,MEDIUM,17400000,2025-12-20 14:06:09 +00:00,409.00,363.00,107.00,94.00,397.00,340.30,59.60,5.80,5.70,29.30,17.30,0.86,2.53
tint mississauga,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",320,0,2.59,92,0,0.91,HIGH,753000,2025-12-13 03:09:09 +00:00,409.00,363.00,107.00,94.00,397.00,184.90,80.30,34.00,32.20,80.70,69.50,0.76,2.79
window tinting regina sk,https://mrtint.ca/,"transactional,navigational,commercial","ai_overview,people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph,images",320,0,3.74,92,0,0.49,MEDIUM,50200,2025-12-13 01:35:48 +00:00,409.00,363.00,107.00,94.00,397.00,305.00,26.50,9.40,9.30,12.30,9.10,1.22,9.05
how to tint the window,https://mrtint.ca/,"informational,commercial","ai_overview,people_also_ask,carousel,discussions_and_forums,related_searches",170,10,0.20,92,0,0.31,LOW,49300000,2025-12-17 03:46:47 +00:00,409.00,363.00,107.00,94.00,397.00,787.00,63.90,11.70,11.00,23.10,16.20,0.06,1.45
tech tint,https://mrtint.ca/,"transactional,navigational,commercial","people_also_ask,popular_products,related_searches,images",170,13,6.17,92,0,0.13,LOW,30200000,2025-11-25 17:18:13 +00:00,409.00,363.00,107.00,94.00,397.00,383.70,107.80,50.90,50.30,138.30,114.70,1.40,3.32
richmond window tinting,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",110,0,1.89,92,0,0.69,HIGH,549000,2025-11-07 03:48:04 +00:00,409.00,363.00,107.00,94.00,397.00,336.90,39.30,6.40,5.40,59.90,58.20,0.85,2.87
orillia window tinting,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",90,0,2.77,92,0,0.93,HIGH,88900,2025-12-01 00:15:34 +00:00,409.00,363.00,107.00,94.00,397.00,257.70,40.50,9.10,8.80,10.80,8.40,0.93,3.15
truck tinted windows,https://mrtint.ca/pricing/,commercial,"local_pack,people_also_ask,video,images,popular_products,related_searches",70,0,1.85,92,0,1.00,HIGH,15100000,2025-11-13 21:40:25 +00:00,3.00,1.00,3.00,3.00,3.00,332.80,22.80,8.50,8.30,13.70,7.30,0.44,3.20
belleville window tinting,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",110,0,1.67,93,0,0.45,MEDIUM,89700,2025-11-08 07:56:57 +00:00,409.00,363.00,107.00,94.00,397.00,368.80,3.50,0.20,0.10,0.30,0.30,0.69,2.14
home tinted windows film,https://mrtint.ca/,"commercial,transactional","ai_overview,discussions_and_forums,people_also_ask,popular_products,video,related_searches,images",1900,15,2.05,94,3,1.00,HIGH,4640000,2025-11-18 02:12:00 +00:00,409.00,363.00,107.00,94.00,397.00,398.60,141.20,77.00,76.30,100.20,51.00,0.62,3.95
custom tint,https://mrtint.ca/,navigational,"local_pack,people_also_ask,popular_products,related_searches,images",210,0,6.41,94,0,0.07,LOW,46500000,2025-11-25 08:07:27 +00:00,409.00,363.00,107.00,94.00,397.00,351.50,41.30,8.90,8.70,10.00,6.50,,
windows tint shop near me,https://mrtint.ca/pricing/,"commercial,navigational","local_pack,popular_products,related_searches",210,0,3.42,94,0,0.45,MEDIUM,13200000,2025-11-09 03:33:57 +00:00,3.00,1.00,3.00,3.00,3.00,268.60,78.60,20.50,20.00,598.80,584.50,1.01,3.37
crystal tint,https://mrtint.ca/,transactional,"local_pack,video,people_also_ask,related_searches,images",140,0,1.38,94,0,0.06,LOW,24300000,2025-11-07 01:11:11 +00:00,409.00,363.00,107.00,94.00,397.00,351.00,71.60,7.00,6.80,25.90,16.40,,
canada window tint laws,https://mrtint.ca/ontariowindowtintinglaw/,commercial,"ai_overview,people_also_ask,video,carousel,related_searches,images",110,0,,94,0,0.00,LOW,1190000,2025-11-30 08:33:50 +00:00,,,,,,331.60,68.40,12.50,12.10,18.00,13.40,,
how long does window tinting take,https://mrtint.ca/,informational,"ai_overview,people_also_ask,carousel,related_searches",110,0,2.82,94,0,0.04,LOW,7770000,2025-11-08 05:17:26 +00:00,409.00,363.00,107.00,94.00,397.00,472.30,0.20,0.10,0.10,2.00,1.00,,
car tint milton,https://mrtint.ca/,commercial,"local_pack,related_searches,images",90,0,4.82,94,0,0.98,HIGH,598000,2025-11-29 04:41:10 +00:00,409.00,363.00,107.00,94.00,397.00,237.50,2.80,0.10,0.10,0.10,0.10,1.16,3.56
precision tinting,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches,people_also_search,images",90,0,4.79,94,0,0.13,LOW,11900000,2025-11-10 01:23:40 +00:00,409.00,363.00,107.00,94.00,397.00,257.40,31.50,7.60,7.30,10.80,6.60,1.44,3.09
window tint woodstock,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",90,0,1.78,94,0,0.67,HIGH,211000,2025-12-20 16:13:02 +00:00,409.00,363.00,107.00,94.00,397.00,239.60,29.50,27.40,27.00,43.30,36.20,0.68,3.74
tintline window films,https://mrtint.ca/,"commercial,navigational","people_also_ask,knowledge_graph,google_reviews,images",70,0,,94,0,0.05,LOW,8380,2025-11-13 01:26:07 +00:00,409.00,363.00,107.00,94.00,397.00,,,,,,,,
white auto tint,https://mrtint.ca/windowtinting/,transactional,"video,people_also_ask,popular_products,images,related_searches",50,2,0.42,94,0,0.73,HIGH,37700000,2025-10-24 19:34:47 +00:00,,,,,,425.90,73.60,46.40,45.10,110.40,63.10,0.52,1.25
saskatoon window tinting,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_search,people_also_ask,related_searches",320,3,2.64,95,0,0.75,HIGH,53400,2025-11-09 02:52:29 +00:00,409.00,363.00,107.00,94.00,397.00,408.20,80.70,23.30,22.70,52.50,20.80,0.93,4.09
tinting car windows mississauga,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",170,0,2.27,95,0,0.23,LOW,75100,2025-11-29 18:21:03 +00:00,409.00,363.00,107.00,94.00,397.00,215.70,79.80,25.10,23.70,65.40,55.50,0.96,3.44
vinyl wrap course,https://mrtint.ca/training/,commercial,"video,people_also_ask,related_searches,images",170,21,2.44,95,0,0.28,LOW,10700000,2025-11-09 05:18:55 +00:00,,,,,,245.90,163.20,5.60,5.30,54.20,48.00,0.54,2.24
auto window tinting services,https://mrtint.ca/pricing/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches",110,0,3.70,95,0,0.06,LOW,9820000,2025-11-12 12:16:17 +00:00,3.00,1.00,3.00,3.00,3.00,232.70,67.60,27.40,26.80,39.90,29.40,,
professional window tinting,https://mrtint.ca/,"navigational,transactional","local_pack,people_also_ask,video,popular_products,related_searches,images",70,0,2.02,95,0,0.38,MEDIUM,4730000,2025-11-13 10:28:01 +00:00,409.00,363.00,107.00,94.00,397.00,337.10,42.10,12.70,12.50,21.20,11.60,0.84,1.72
windsor tinting,https://mrtint.ca/,"navigational,commercial","local_pack,related_searches",90,2,3.48,96,0,0.79,HIGH,1760000,2025-11-07 17:35:19 +00:00,409.00,363.00,107.00,94.00,397.00,215.00,81.00,30.70,30.10,46.30,33.20,1.24,2.65
window tints essex,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",70,7,1.68,96,0,0.42,MEDIUM,83600,2025-12-04 07:26:16 +00:00,409.00,363.00,107.00,94.00,397.00,517.60,87.90,12.80,11.80,8509.80,4287.90,,
car tinting burlington,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",170,13,4.51,97,0,0.90,HIGH,181000,2025-11-26 11:25:49 +00:00,409.00,363.00,107.00,94.00,397.00,269.50,146.80,15.10,14.40,1727.80,847.80,1.39,5.59
dark side window tint,https://mrtint.ca/,transactional,"local_pack,people_also_ask,video,images",170,0,,97,0,0.05,LOW,36300000,2025-11-26 09:20:04 +00:00,409.00,363.00,107.00,94.00,397.00,434.50,34.90,9.00,8.60,11.70,8.50,,
auto window tinting hamilton,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",90,10,3.02,98,0,0.87,HIGH,327000,2025-11-11 00:51:17 +00:00,409.00,363.00,107.00,94.00,397.00,191.00,106.40,27.90,25.50,73.60,58.30,1.10,3.74
auto tint removal near me,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,related_searches",90,0,2.11,99,0,0.60,MEDIUM,14500000,2025-11-14 13:06:20 +00:00,409.00,363.00,107.00,94.00,397.00,336.10,46.50,5.40,4.50,14.80,10.50,0.90,3.11
car window tinting kitchener waterloo,https://mrtint.ca/,commercial,"local_pack,people_also_ask,people_also_search,related_searches",70,0,2.64,99,0,0.87,HIGH,29400,2025-12-03 09:22:00 +00:00,409.00,363.00,107.00,94.00,397.00,181.00,78.60,41.50,40.70,65.40,48.70,0.71,2.69
tinted windows benefits,https://mrtint.ca/window-tinting-benefits/,"commercial,informational","ai_overview,people_also_ask,discussions_and_forums,related_searches",30,0,0.06,99,0,0.08,LOW,5810000,2025-10-29 10:37:36 +00:00,,,,,,301.70,57.00,13.90,13.80,26.10,21.90,,
car tint toronto,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,discussions_and_forums,people_also_search,related_searches",1000,21,2.50,1,304,0.47,MEDIUM,6920000,2025-12-10 15:06:21 +00:00,409.00,363.00,107.00,94.00,397.00,115.50,160.20,78.20,74.80,177.60,131.90,0.90,2.89
mr tint,https://mrtint.ca/,"commercial,navigational","people_also_ask,people_also_search,related_searches,images",1000,0,2.32,1,304,0.12,LOW,26200000,2025-12-10 13:00:31 +00:00,409.00,363.00,107.00,94.00,397.00,461.80,54.70,26.90,25.10,77.90,67.50,0.96,2.94
mr tints,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches,images",1000,0,2.32,1,304,0.12,LOW,2460000,2025-11-11 13:34:44 +00:00,409.00,363.00,107.00,94.00,397.00,494.30,43.90,26.40,24.70,77.10,66.20,0.96,2.94
toronto auto tint,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,people_also_search,related_searches",1000,23,2.50,1,304,0.47,MEDIUM,2740000,2025-11-18 09:03:12 +00:00,409.00,363.00,107.00,94.00,397.00,130.50,155.20,83.30,79.10,200.10,151.70,0.90,2.89
toronto car tint,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",1000,22,2.50,1,304,0.47,MEDIUM,6820000,2025-11-08 18:28:19 +00:00,409.00,363.00,107.00,94.00,397.00,143.70,164.60,73.80,70.40,171.40,128.00,0.90,2.89
window tint toronto,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,popular_products,people_also_search,related_searches,images",1000,21,2.50,1,304,0.47,MEDIUM,3940000,2025-12-10 10:55:14 +00:00,409.00,363.00,107.00,94.00,397.00,123.30,156.10,59.90,56.80,147.40,116.60,0.90,2.89
price of car tinting,https://mrtint.ca/pricing/,"commercial,navigational","popular_products,people_also_ask,images,people_also_search,related_searches",390,0,2.13,1,118,0.42,MEDIUM,12600000,2025-11-07 08:56:53 +00:00,3.00,1.00,3.00,3.00,3.00,200.30,6.10,0.20,0.20,0.20,0.00,0.75,1.96
auto window tinting toronto,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_search,people_also_ask,related_searches",210,21,3.45,1,63,0.22,LOW,195000,2025-11-29 17:32:22 +00:00,409.00,363.00,107.00,94.00,397.00,124.90,146.10,70.10,66.90,165.60,125.90,0.98,3.27
car window tint toronto,https://mrtint.ca/,"transactional,commercial","local_pack,people_also_ask,people_also_search,related_searches",210,9,3.45,1,63,0.22,LOW,2070000,2025-12-17 06:32:46 +00:00,409.00,363.00,107.00,94.00,397.00,130.20,141.00,62.30,59.70,142.00,102.60,0.98,3.27
tinting car windows toronto,https://mrtint.ca/,"commercial,navigational","local_pack,people_also_ask,related_searches",210,23,3.45,1,63,0.22,LOW,1120000,2025-11-09 05:20:40 +00:00,409.00,363.00,107.00,94.00,397.00,213.60,168.00,88.90,84.60,212.00,157.30,0.98,3.27
tint toronto,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",170,11,2.30,1,51,0.82,HIGH,9780000,2025-12-17 18:59:52 +00:00,409.00,363.00,107.00,94.00,397.00,101.90,153.40,59.90,57.40,136.50,99.70,0.76,2.57
tinting toronto,https://mrtint.ca/,"navigational,commercial","people_also_ask,people_also_search,related_searches,google_reviews,knowledge_graph,images",170,23,2.30,1,51,0.82,HIGH,7750000,2025-11-25 16:31:07 +00:00,409.00,363.00,107.00,94.00,397.00,134.60,181.30,95.30,90.60,227.70,169.40,0.76,2.57
tints toronto,https://mrtint.ca/,"navigational,commercial","local_pack,people_also_ask,people_also_search,related_searches,images",170,23,2.30,1,51,0.82,HIGH,392000,2025-11-25 16:41:57 +00:00,409.00,363.00,107.00,94.00,397.00,132.30,184.30,97.40,92.90,224.40,163.40,0.76,2.57
